Query,Chunk Number,Chunk Content
What should I do if my card is stolen or damaged?,1,"3. What should I do if my Debit Card is lost or stolen, and how can I block it immediately?
If your Kotak Mahindra Bank Debit Card is lost, stolen, or damaged, it is important to block the card immediately to prevent unauthorized transactions. You can block your card through the following channels:
1. Kotak Net Banking:
* Log in to your account at www.kotak.com.
* Go to Service Requests > Debit Card Service Requests > Report Loss of Card."
What should I do if my card is stolen or damaged?,2,"• If you suspect that the security of your card has been breached, 
please contact our 24-hour Customer Contact Centre immediately.
•  Do not bend your Card. Do not leave your Card near any electronic 
gadget. This can damage the magnetic strip on your Card
•  Avoid exposing your Card to sunlight.
•  If your Card gets damaged, just call our 24-hour customer contact 
centre and we shall arrange to replace it at the earliest.
Care for your card"
What should I do if my card is stolen or damaged?,3,"Replacement Process:
After blocking your card, you can request a replacement through:
* Net Banking
* Mobile Banking App
* Customer Care Helpline
The replacement card will be issued and delivered to your registered address.
Important Tips:
* Always report lost cards immediately to avoid liability.
* Do not share your PIN, CVV, or OTP with anyone.
* Keep a copy of the First Information Report (FIR) if you report the loss to the police."
What should I do if my card is stolen or damaged?,4,"visit www.VISA.com. Charges for using VISA Global Assistance Services 
as applicable will be debited to your account.
You can also call us at 0091-22-6600 6022 to report the loss/theft of 
your Card.
On reporting of the loss/theft, your Card will immediately be deactivated 
to prevent misuse. Please report the loss/theft of the Card to the nearest 
local police authority and forward a copy of the FIR to us.
Report the loss/theft of card
•  Your Card is for your personal use only, do not hand it over to"
What should I do if my card is stolen or damaged?,5,"Report the loss/theft of your card immediately to any branch of 
Kotak Mahindra Bank or call our 24-hour customer contact centre at 
1860 266 2666 (local call charges apply)
Abroad you can report your lost Card immediately by calling VISA Global 
Assistance Services Helpline at the following toll-free numbers:
For more information on VISA Global Assistance Numbers in other 
countries, you can check the local telephone directories / yellow pages or"
How to talk to customer care?,1,"please call up our 24-hour customer contact centre and our Customer 
Care Officer will be glad to assist you.
Using Net Banking
NETBANKING"
How to talk to customer care?,2,"www.kotak.com for more information, 
or call our 24-hour Customer Contact 
Centre at 1860 266 2666 (local call 
charges apply), and our Customer Care 
Officers will be glad to assist you.
WORLD OF
CONVENIENCE
BANKING"
How to talk to customer care?,3,"1. Phone Banking (24x7 Customer Contact Centre)
📞 Dial 1860 266 2666 (local call charges apply) for personalized assistance.
✅ Services Available via Phone Banking:
         * Account balance inquiries.
         * Fund transfers within Kotak accounts.
         * Cheque book requests, stop cheque payments.
         * Debit/Credit Card services (blocking, reissue, activation).
         * Fixed deposit and loan-related inquiries.
         * Report lost/stolen cards or fraudulent transactions.
How to Access:"
How to talk to customer care?,4,"9. What customer support services are available (phone banking, WhatsApp banking, home banking), and how can I access them?
Kotak Mahindra Bank offers multiple customer support channels for banking assistance, service requests, and issue resolution. These include Phone Banking, WhatsApp Banking, and Home Banking for customer convenience.
________________"
How to talk to customer care?,5,"And what's more, this facility comes to you absolutely free of cost!*
* Conditions Apply
To access Phone Banking, you simply need to enter your Customer 
Relationship Number and your Phone Banking PIN.
Your Customer Relationship Number is communicated to you on your 
welcome letter and is also available on your Kotak Debit Card for easy 
reference. Your Phone Banking PIN is couriered to you separately. In case 
you have not received your Phone Banking PIN, please call up our"
How can I activate my debit card?,1,"2. How can I activate and use my Kotak Mahindra Bank Debit Card for online transactions?
By default, your Kotak Mahindra Bank Debit Card is inactive for online, contactless, and international transactions for security reasons. To enable online transactions, follow these steps:
Activation Steps:
1. Via Kotak Mobile Banking App:
   * Log in to the Kotak Mobile Banking App.
   * Navigate to Service Requests > Debit Card Service Requests."
How can I activate my debit card?,2,"Your Kotak bank Debit Card can be used at all ATMs (Kotak Mahindra 
Bank or other banks ATMs affiliated with NFS or Cashnet) with a six digit 
Personal Identification Number (PIN) which can be generated using a 
Green PIN channel.
Additionally for your safety, the Debit Card is sent to you, inactive for use 
of contactless payments, e-commerce & tokenisation. You can activate 
your Card by using it at any Kotak Mahindra Bank or any other bank's 
ATMs affiliated to Cashnet."
How can I activate my debit card?,3,"* Select ""Enable Online Transactions"" and follow the on-screen instructions.
2. Via Kotak Net Banking:
   * Log in to Kotak Net Banking at www.kotak.com.
   * Go to Service Requests > Debit Card Controls.
   * Enable online transactions under the card settings section.
3. Via QR Code (If provided with your card):
   * Scan the QR code on the card kit to instantly enable online, contactless, and international transactions.
4. Via ATM Transaction:"
How can I activate my debit card?,4,"• Enter your Personal Identification Number (PIN).
•  Touch the required option on the screen to make your selection in  
 case of touch-screen ATMs. In case of non-touch screen ATMs,   
 simply press the button beside the option on the screen.
•  Just follow the simple instructions on the screen.
Please do not hand over your Card or disclose your PIN to anyone. Do 
remember to take your Customer Advice and Card before you leave.
'Access India Debit Card can be used at 
establishments in India only."
